bank_name,bank_code,sort_code
GreenBank Microfinance Bank,90178,90178
FAST Microfinance Bank,90179,90179
AMJU Unique Microfinance Bank,90180,90180
Balogun Fulani  Microfinance Bank,90181,90181
Standard Microfinance Bank,90182,90182
Girei Microfinance Bank,90186,90186
Baines Credit Microfinance Bank,90188,90188
Esan Microfinance Bank,90189,90189
Mutual Benefits Microfinance Bank,90190,90190
KCMB Microfinance Bank,90191,90191
Midland Microfinance Bank,90192,90192
Unical Microfinance Bank,90193,90193
NIRSAL Microfinance Bank,90194,90194
Grooming Microfinance Bank,90195,90195
Pennywise Microfinance Bank,90196,90196
ABU Microfinance Bank,90197,90197
RenMoney Microfinance Bank,90198,90198
Xpress Payments,90201,90201
Accelerex Network,90202,90202
New Dawn Microfinance Bank,90205,90205
Itex Integrated Services Limited,90211,90211
UNN MFB,90251,90251
Yobe Microfinance Bank,90252,90252
Coalcamp Microfinance Bank,90254,90254
Imo State Microfinance Bank,90258,90258
Alekun Microfinance Bank,90259,90259
Above Only Microfinance Bank,90260,90260
Quickfund Microfinance Bank,90261,90261
Stellas Microfinance Bank,90262,90262
Navy Microfinance Bank,90263,90263
Auchi Microfinance Bank,90264,90264
Lovonus Microfinance Bank,90265,90265
Uniben Microfinance Bank,90266,90266
Kuda,90267,90267
Adeyemi College Staff Microfinance Bank,90268,90268
Greenville Microfinance Bank,90269,90269
AB Microfinance Bank,90270,90270
Lavender Microfinance Bank,90271,90271
Olabisi Onabanjo University Microfinance Bank,90272,90272
Emeralds Microfinance Bank,90273,90273
Prestige Microfinance Bank,90274,90274
Meridian Microfinance Bank,90275,90275
Trustfund Microfinance Bank,90276,90276
Al-Hayat Microfinance Bank,90277,90277
Glory Microfinance Bank ,90278,90278
Ikire Microfinance Bank,90279,90279
Megapraise Microfinance Bank,90280,90280
Mint-Finex MICROFINANCE BANK,90281,90281
Arise Microfinance Bank,90282,90282
Thrive Microfinance Bank,90283,90283
First Option Microfinance Bank,90285,90285
Safe Haven MFB,90286,90286
Assets Matrix Microfinance Bank,90287,90287
